iteration,investor,proximal_coefficient_eur_per_mw2_day,unpenalized_profit_eur_per_day,proximal_penalty_eur_per_day,strategic_epsilon_penalty,epsilon_penalty_eur_per_day,penalized_objective_eur_per_day
1,I1,0.0,2289.7409409524043,0.0,0.0,0.0,2289.7409409524043
1,I2,0.0,1975.8541475477055,0.0,0.0,0.0,1975.8541475477055
1,I3,0.0,103598.80747451994,0.0,0.0,0.0,103598.80747451994
1,I4,0.0,94419.27866795861,0.0,0.0,0.0,94419.27866795861
2,I1,0.0,5278.181104104255,0.0,0.0,0.0,5278.181104104255
2,I2,0.0,6294.961051874504,0.0,0.0,0.0,6294.961051874504
2,I3,0.0,103598.76923118989,0.0,0.0,0.0,103598.76923118989
2,I4,0.0,94419.2622217232,0.0,0.0,0.0,94419.2622217232
3,I1,0.0,9383.813912596386,0.0,0.0,0.0,9383.813912596386
3,I2,0.0,5101.744238364727,0.0,0.0,0.0,5101.744238364727
3,I3,0.0,103598.84828864921,0.0,0.0,0.0,103598.84828864921
3,I4,0.0,94420.19671053378,0.0,0.0,0.0,94420.19671053378
4,I1,0.0,10065.774908450261,0.0,0.0,0.0,10065.774908450261
4,I2,0.0,6307.15374501742,0.0,0.0,0.0,6307.15374501742
4,I3,0.0,103599.64298497267,0.0,0.0,0.0,103599.64298497267
4,I4,0.0,94423.42745728303,0.0,0.0,0.0,94423.42745728303
5,I1,0.0,10215.55015079504,0.0,0.0,0.0,10215.55015079504
5,I2,0.0,6243.576296080269,0.0,0.0,0.0,6243.576296080269
5,I3,0.0,104567.41710143504,0.0,0.0,0.0,104567.41710143504
5,I4,0.0,97387.19937358965,0.0,0.0,0.0,97387.19937358965
6,I1,0.0,10033.095632883425,0.0,0.0,0.0,10033.095632883425
6,I2,0.0,5787.242650589143,0.0,0.0,0.0,5787.242650589143
6,I3,0.0,104345.93527109576,0.0,0.0,0.0,104345.93527109576
6,I4,0.0,97313.51808823981,0.0,0.0,0.0,97313.51808823981
7,I1,0.0,10097.424523420194,0.0,0.0,0.0,10097.424523420194
7,I2,0.0,8469.296636978077,0.0,0.0,0.0,8469.296636978077
7,I3,0.0,104563.91898624055,0.0,0.0,0.0,104563.91898624055
7,I4,0.0,97981.64118097175,0.0,0.0,0.0,97981.64118097175
8,I1,0.0,9729.18374295254,0.0,0.0,0.0,9729.18374295254
8,I2,0.0,8348.977811319246,0.0,0.0,0.0,8348.977811319246
8,I3,0.0,104737.66363245211,0.0,0.0,0.0,104737.66363245211
8,I4,0.0,98518.98658061307,0.0,0.0,0.0,98518.98658061307
9,I1,0.0,10187.399682167481,0.0,0.0,0.0,10187.399682167481
9,I2,0.0,8520.41753258568,0.0,0.0,0.0,8520.41753258568
9,I3,0.0,105019.76447973208,0.0,0.0,0.0,105019.76447973208
