scenario,hour,line,upper_dual_abs,lower_dual_abs
high,8,L45,0.0,0.0
high,9,L45,0.0,0.0
high,10,L45,0.0,0.0
high,11,L45,0.0,0.0
high,12,L45,0.0,0.0
high,13,L45,0.0,0.0
high,14,L45,0.0,0.0
high,15,L45,0.0,0.0
high,16,L45,0.0,0.0
high,17,L45,0.0,0.0
high,18,L45,0.0,0.0
high,19,L45,0.0,0.0
high,20,L45,0.0,0.0
high,21,L45,0.0,0.0
high,22,L45,0.0,0.0
high,23,L45,0.0,0.0
high,24,L45,0.0,0.0
high,1,L46,0.0,0.0
high,2,L46,0.0,0.0
high,3,L46,0.0,0.0
high,4,L46,0.0,0.0
high,5,L46,0.0,0.0
high,6,L46,0.0,0.0
high,7,L46,0.0,0.0
high,8,L46,0.0,0.0
high,9,L46,0.0,0.0
high,10,L46,0.0,0.0
high,11,L46,0.0,21.5863414634146
high,12,L46,0.0,52.2
high,13,L46,0.0,52.2
high,14,L46,0.0,52.2
high,15,L46,0.0,52.2
high,16,L46,0.0,62.917073170731676
high,17,L46,0.0,0.0
high,18,L46,0.0,0.0
high,19,L46,0.0,0.0
high,20,L46,0.0,0.0
high,21,L46,0.0,0.0
high,22,L46,0.0,0.0
high,23,L46,0.0,0.0
high,24,L46,0.0,0.0
high,1,L69,0.0,0.0
high,2,L69,0.0,0.0
high,3,L69,0.0,0.0
high,4,L69,0.0,0.0
high,5,L69,0.0,0.0
high,6,L69,0.0,0.0
high,7,L69,0.0,0.0
high,8,L69,0.0,0.0
high,9,L69,0.0,0.0
high,10,L69,0.0,0.0
high,11,L69,0.0,0.0
high,12,L69,0.0,0.0
high,13,L69,0.0,0.0
high,14,L69,0.0,0.0
high,15,L69,0.0,0.0
high,16,L69,0.0,0.0
high,17,L69,0.0,0.0
high,18,L69,0.0,0.0
high,19,L69,0.0,0.0
high,20,L69,0.0,0.0
high,21,L69,0.0,0.0
high,22,L69,0.0,0.0
high,23,L69,0.0,0.0
high,24,L69,0.0,0.0
high,1,L57,0.0,0.0
high,2,L57,0.0,0.0
high,3,L57,0.0,0.0
high,4,L57,0.0,0.0
high,5,L57,0.0,0.0
high,6,L57,0.0,0.0
high,7,L57,0.0,0.0
high,8,L57,0.0,0.0
high,9,L57,0.0,0.0
high,10,L57,0.0,0.0
high,11,L57,0.0,0.0
high,12,L57,0.0,0.0
high,13,L57,0.0,0.0
high,14,L57,0.0,0.0
high,15,L57,0.0,0.0
high,16,L57,0.0,0.0
high,17,L57,0.0,0.0
high,18,L57,0.0,0.0
high,19,L57,0.0,0.0
high,20,L57,0.0,0.0
high,21,L57,0.0,0.0
high,22,L57,0.0,0.0
high,23,L57,0.0,0.0
high,24,L57,0.0,0.0
high,1,L93,0.0,0.0
high,2,L93,0.0,0.0
high,3,L93,0.0,0.0
high,4,L93,0.0,0.0
high,5,L93,0.0,0.0
high,6,L93,0.0,0.0
high,7,L93,0.0,0.0
high,8,L93,0.0,0.0
high,9,L93,0.0,0.0
high,10,L93,0.0,0.0
high,11,L93,0.0,0.0
high,12,L93,0.0,0.0
high,13,L93,0.0,0.0
high,14,L93,0.0,0.0
high,15,L93,0.0,0.0
high,16,L93,0.0,0.0
high,17,L93,0.0,0.0
high,18,L93,0.0,0.0
high,19,L93,0.0,0.0
high,20,L93,0.0,0.0
high,21,L93,0.0,0.0
high,22,L93,0.0,0.0
high,23,L93,0.0,0.0
high,24,L93,0.0,0.0
high,1,L72,0.0,0.0
high,2,L72,0.0,0.0
high,3,L72,0.0,0.0
high,4,L72,0.0,0.0
high,5,L72,0.0,0.0
high,6,L72,0.0,0.0
high,7,L72,0.0,0.0
high,8,L72,0.0,0.0
high,9,L72,0.0,0.0
high,10,L72,0.0,0.0
high,11,L72,0.0,0.0
high,12,L72,0.0,0.0
high,13,L72,0.0,0.0
high,14,L72,0.0,0.0
high,15,L72,0.0,0.0
high,16,L72,0.0,0.0
high,17,L72,0.0,0.0
high,18,L72,0.0,0.0
high,19,L72,0.0,0.0
high,20,L72,0.0,0.0
high,21,L72,0.0,0.0
high,22,L72,0.0,0.0
high,23,L72,0.0,0.0
high,24,L72,0.0,0.0
high,1,L98,0.0,0.0
high,2,L98,0.0,0.0
high,3,L98,0.0,0.0
high,4,L98,0.0,0.0
high,5,L98,0.0,0.0
high,6,L98,0.0,0.0
high,7,L98,0.0,0.0
high,8,L98,0.0,0.0
high,9,L98,0.0,0.0
high,10,L98,0.0,0.0
high,11,L98,0.0,0.0
high,12,L98,0.0,0.0
high,13,L98,0.0,0.0
high,14,L98,0.0,0.0
high,15,L98,0.0,0.0
high,16,L98,0.0,0.0
high,17,L98,0.0,0.0
high,18,L98,0.0,0.0
high,19,L98,0.0,0.0
high,20,L98,0.0,0.0
high,21,L98,0.0,0.0
high,22,L98,0.0,0.0
high,23,L98,0.0,0.0
high,24,L98,0.0,0.0
high,1,L78,0.0,0.0
high,2,L78,0.0,0.0
high,3,L78,0.0,0.0
high,4,L78,0.0,0.0
high,5,L78,0.0,0.0
high,6,L78,0.0,0.0
high,7,L78,0.0,0.0
high,8,L78,0.0,0.0
high,9,L78,0.0,0.0
high,10,L78,0.0,0.0
high,11,L78,0.0,0.0
high,12,L78,0.0,52.2
high,13,L78,0.0,52.2
high,14,L78,0.0,52.2
high,15,L78,0.0,52.2
high,16,L78,0.0,41.330731707317106
high,17,L78,0.0,0.0
high,18,L78,0.0,0.0
high,19,L78,0.0,0.0
high,20,L78,0.0,0.0
high,21,L78,0.0,0.0
high,22,L78,0.0,0.0
high,23,L78,0.0,0.0
high,24,L78,0.0,0.0
